NCIT:C132256	Unspecified Tissue	21514
NCIT:C159209	Kidney Leiomyoma	1
NCIT:C4162	Juxtaglomerular Cell Tumor	2
NCIT:C4526	Kidney Oncocytoma	85
NCIT:C8383	Kidney Adenoma	7
NCIT:C4512	Ovarian Mucinous Cystadenoma	58
NCIT:C3434	Uterine Corpus Leiomyoma	75
NCIT:C8946	Metastatic Prostate Carcinoma	2
NCIT:C3867	Fallopian Tube Carcinoma	15
NCIT:C40099	Fallopian Tube Serous Adenocarcinoma	4
NCIT:C4866	Vulvar Carcinoma	2
NCIT:C4052	Vulvar Squamous Cell Carcinoma	91
NCIT:C4908	Ovarian Carcinoma	1095
NCIT:C171032	Ovarian Neuroendocrine Carcinoma	1
NCIT:C27390	Ovarian Small Cell Carcinoma	1
NCIT:C40090	Ovarian Seromucinous Carcinoma	6
NCIT:C4270	Malignant Ovarian Brenner Tumor	1
NCIT:C7700	Ovarian Adenocarcinoma	311
NCIT:C40078	Ovarian Clear Cell Adenocarcinoma	91
NCIT:C5228	Ovarian Cystadenocarcinoma	11
NCIT:C4026	Ovarian Mucinous Cystadenocarcinoma	23
NCIT:C7978	Ovarian Serous Cystadenocarcinoma	1440
NCIT:C5243	Ovarian Mucinous Adenocarcinoma	31
NCIT:C7550	Ovarian Serous Adenocarcinoma	4
NCIT:C105555	Ovarian High Grade Serous Adenocarcinoma	166
NCIT:C105556	Ovarian Low Grade Serous Adenocarcinoma	23
NCIT:C7979	Ovarian Endometrioid Adenocarcinoma	12
NCIT:C7558	Endometrial Carcinoma	23
NCIT:C114656	Endometrial Adenosquamous Carcinoma	6
NCIT:C126769	Endometrial Dedifferentiated Carcinoma	1
NCIT:C27838	Endometrial Serous Adenocarcinoma	47
NCIT:C7359	Endometrial Adenocarcinoma	47
NCIT:C6287	Endometrial Endometrioid Adenocarcinoma	813
NCIT:C27839	Endometrial Endometrioid Adenocarcinoma, Secretory Variant	2
NCIT:C6290	Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation	1
NCIT:C9039	Cervical Carcinoma	17
NCIT:C7982	Cervical Small Cell Neuroendocrine Carcinoma	2
