analysis_id	biosample_id	individual_id	experiment_id	analysis_operation_id	analysis_operation_label
pgxcs-ltoijq1h	pgxbs-kftvhxry	pgxind-kftx3tgx	pgx:TCGA.1e6b9fc4-3fed-4d32-89b8-aa15fb4a5840	EDAM:operation_3227	Variant Calling
pgxcs-ltoiklqn	pgxbs-kftvhwcn	pgxind-kftx3smv	pgx:TCGA.f086df4f-ad28-4a0b-bd53-ccc677aa9d44	EDAM:operation_3227	Variant Calling
pgxcs-ltoi90it	pgxbs-kftvi4tn	pgxind-kftx3h7u	pgx:TCGA.9c02fd4a-a29a-4a44-ba96-5acb6ff11f7f	EDAM:operation_3227	Variant Calling
pgxcs-ltoih6zz	pgxbs-kftvho26	pgxind-kftx3mll	pgx:TCGA.01dee5bc-b28d-4251-8875-b0acb02a1000	EDAM:operation_3227	Variant Calling
pgxcs-ltoi957x	pgxbs-kftvi9fi	pgxind-kftx3wiv	pgx:TCGA.00ab48d1-6b1c-4663-a9b1-69d22f93af1a	EDAM:operation_3227	Variant Calling
pgxcs-ltohn1yh	pgxbs-kftvhldp	pgxind-kftx3jn2	pgx:TCGA.453e3da6-a1b3-4303-9a08-17d99027910f	EDAM:operation_3227	Variant Calling
pgxcs-ltoihbh8	pgxbs-kftvi562	pgxind-kftx3w39	pgx:TCGA.69c35309-ae0a-4596-bd6e-f82f1845452c	EDAM:operation_3227	Variant Calling
pgxcs-ltoic8dp	pgxbs-kftvhw3z	pgxind-kftx3shd	pgx:TCGA.78feb5be-f9d1-4cc6-baba-274136b9487c	EDAM:operation_3227	Variant Calling
pgxcs-ltohfrpc	pgxbs-kftvi0ix	pgxind-kftx3tri	pgx:TCGA.05f0b31e-7fec-4d39-b5bf-bbf9b01173b0	EDAM:operation_3227	Variant Calling
pgxcs-ltoh834k	pgxbs-kftvhjxx	pgxind-kftx3i27	pgx:TCGA.a21b0170-9c95-40f3-bef5-b6f01293cda9	EDAM:operation_3227	Variant Calling
pgxcs-ltoi19f8	pgxbs-kftvi1rp	pgxind-kftx3v4x	pgx:TCGA.c8ffe03a-62c3-4b47-9dea-cb3377f59abb	EDAM:operation_3227	Variant Calling
pgxcs-ltohfgm9	pgxbs-kftvhodj	pgxind-kftx3mvt	pgx:TCGA.460106a6-b0fd-4512-9583-e3242e1d5167	EDAM:operation_3227	Variant Calling
pgxcs-ltohje94	pgxbs-kftvi85o	pgxind-kftx3ow8	pgx:TCGA.a04e922f-f436-45ae-ad28-5cdf9d351c3a	EDAM:operation_3227	Variant Calling
pgxcs-ltohx4tk	pgxbs-kftvhkvy	pgxind-kftx3j3l	pgx:TCGA.2420585a-4519-4a28-b121-87188c3d4719	EDAM:operation_3227	Variant Calling
pgxcs-ltoimqyf	pgxbs-kftvi76v	pgxind-kftx3p5w	pgx:TCGA.586803bd-5ffb-4d14-8dc9-3e540a683afe	EDAM:operation_3227	Variant Calling
pgxcs-ltohasct	pgxbs-kftvhw7s	pgxind-kftx3fvm	pgx:TCGA.f178cc5c-525a-418b-a868-fa6e7c50947c	EDAM:operation_3227	Variant Calling
pgxcs-ltoighhw	pgxbs-kftvhj4e	pgxind-kftx3h44	pgx:TCGA.e23e2a9c-5080-4276-8982-9cf078027a48	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8222	pgxbs-kftvhxw3	pgxind-kftx3tjd	pgx:TCGA.3dfe24eb-2203-49f7-9a06-76acb0dcbde8	EDAM:operation_3227	Variant Calling
pgxcs-ltoim4r1	pgxbs-kftvi6kv	pgxind-kftx3wcz	pgx:TCGA.09215e83-edac-472d-b849-9225c532358c	EDAM:operation_3227	Variant Calling
pgxcs-ltoikymr	pgxbs-kftvhova	pgxind-kftx3nbz	pgx:TCGA.f9c01615-0645-4d26-84e4-c5d55d9c9566	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9m0v	pgxbs-kftvi78h	pgxind-kftx3wfz	pgx:TCGA.ac9d779a-efc8-4b69-a0b1-ab1d7f83e3f4	EDAM:operation_3227	Variant Calling
pgxcs-ltohmq4d	pgxbs-kftvhozr	pgxind-kftx3k5i	pgx:TCGA.644177c4-983d-4eb7-8328-209695f47744	EDAM:operation_3227	Variant Calling
pgxcs-ltohdpge	pgxbs-kftvi370	pgxind-kftx3vlj	pgx:TCGA.4a579925-cca7-4212-9299-843bb6eb0eb7	EDAM:operation_3227	Variant Calling
pgxcs-ltohmame	pgxbs-kftvi4m2	pgxind-kftx3sm2	pgx:TCGA.75733489-d3cd-4cba-8b79-db316298bb15	EDAM:operation_3227	Variant Calling
pgxcs-ltohm1sf	pgxbs-kftvhhpc	pgxind-kftx3fg9	pgx:TCGA.58f191cf-3c24-4d57-8a50-f7b7ec8f175d	EDAM:operation_3227	Variant Calling
pgxcs-ltohx5d9	pgxbs-kftvhriq	pgxind-kftx3o2w	pgx:TCGA.11ce16b7-6cf6-416d-ac47-089c813cc34c	EDAM:operation_3227	Variant Calling
pgxcs-ltoil8p2	pgxbs-kftvhyuz	pgxind-kftx3rng	pgx:TCGA.ac14e378-2de1-458a-b8cd-7c60131aa927	EDAM:operation_3227	Variant Calling
pgxcs-ltoijgkn	pgxbs-kftvhs5y	pgxind-kftx3q1a	pgx:TCGA.2501a1f4-2130-4446-a0a4-1f4e94c45b59	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6j7b	pgxbs-kftvi3av	pgxind-kftx3p4t	pgx:TCGA.bec00d02-06d8-40a0-b387-339f4cb4d0db	EDAM:operation_3227	Variant Calling
pgxcs-ltohuxka	pgxbs-kftvhj6m	pgxind-kftx3h6s	pgx:TCGA.d3222a2c-6715-4eea-88b0-4006f61c736b	EDAM:operation_3227	Variant Calling
