gene_id	gene_symbol	gene_type	chrom	start	end	onco_gene_type	oncokb_flag	cosmic_flag
ENSG00000008130.15	NADK	protein_coding	1	1751231	1780457	ONCOGENE	1	0
ENSG00000078369.18	GNB1	protein_coding	1	1785284	1891117	ONCOGENE	1	0
ENSG00000157933.10	SKI	protein_coding	1	2228318	2310213	oncogene	0	1
ENSG00000157873.18	TNFRSF14	protein_coding	1	2555638	2565382	TSG	1	1
ENSG00000142611.17	PRDM16	protein_coding	1	3069167	3438621	oncogene, fusion	1	1
ENSG00000116251.11	RPL22	protein_coding	1	6185019	6209389	TSG, fusion	1	1
ENSG00000171735.19	CAMTA1	protein_coding	1	6785453	7769706	TSG, fusion	1	1
ENSG00000116285.13	ERRFI1	protein_coding	1	8004403	8026309	TSG	1	0
ENSG00000171608.16	PIK3CD	protein_coding	1	9651730	9729114	ONCOGENE	1	0
ENSG00000198793.13	MTOR	protein_coding	1	11106534	11262551	oncogene	1	1
ENSG00000116670.15	MAD2L2	protein_coding	1	11674479	11691650	ONCOGENE_AND_TSG	1	0
ENSG00000177000.13	MTHFR	protein_coding	1	11785722	11806455	INSUFFICIENT_EVIDENCE	1	0
ENSG00000116731.22	PRDM2	protein_coding	1	13700197	13825079	TSG	0	1
ENSG00000132906.18	CASP9	protein_coding	1	15490831	15526534	TSG	0	1
ENSG00000065526.12	SPEN	protein_coding	1	15836094	15940456	TSG	1	1
ENSG00000117118.10	SDHB	protein_coding	1	17018721	17054032	TSG	1	1
ENSG00000074964.17	ARHGEF10L	protein_coding	1	17539697	17697874	TSG	0	1
ENSG00000009709.12	PAX7	protein_coding	1	18630845	18748866	fusion	1	1
ENSG00000070831.17	CDC42	protein_coding	1	22025510	22101360	ONCOGENE	1	0
ENSG00000117318.9	ID3	protein_coding	1	23557925	23559501	TSG	1	1
ENSG00000197880.9	MDS2	lncRNA	1	23581494	23640568	fusion	1	1
ENSG00000117713.20	ARID1A	protein_coding	1	26693235	26782104	TSG, fusion	1	1
ENSG00000142733.17	MAP3K6	protein_coding	1	27354066	27366961		1	0
ENSG00000130766.5	SESN2	protein_coding	1	28259517	28282491	TSG	1	0
ENSG00000134644.16	PUM1	protein_coding	1	30931505	31065991	INSUFFICIENT_EVIDENCE	1	0
ENSG00000182866.17	LCK	protein_coding	1	32251238	32286165	oncogene, fusion	1	1
ENSG00000116478.12	HDAC1	protein_coding	1	32292082	32333635	ONCOGENE	1	0
ENSG00000116560.11	SFPQ	protein_coding	1	35176377	35193145	TSG, fusion	1	1
ENSG00000126067.12	PSMB2	protein_coding	1	35599540	35641526	ONCOGENE	1	0
ENSG00000092847.13	AGO1	protein_coding	1	35869807	35930532	ONCOGENE	1	0
ENSG00000054118.15	THRAP3	protein_coding	1	36224431	36305357	fusion	0	1
ENSG00000196182.11	STK40	protein_coding	1	36339623	36385924	INSUFFICIENT_EVIDENCE	1	0
ENSG00000119535.18	CSF3R	protein_coding	1	36466042	36483278	oncogene	1	1
ENSG00000116954.8	RRAGC	protein_coding	1	38838197	38859772	ONCOGENE	1	0
ENSG00000116990.11	MYCL	protein_coding	1	39895425	39902256	oncogene	1	1
ENSG00000117400.18	MPL	protein_coding	1	43337817	43354466	oncogene	1	1
ENSG00000198198.17	SZT2	protein_coding	1	43389881	43454247	INSUFFICIENT_EVIDENCE	1	0
ENSG00000132781.20	MUTYH	protein_coding	1	45329162	45340893	TSG	1	1
ENSG00000117461.15	PIK3R3	protein_coding	1	46040139	46133036	TSG	1	1
ENSG00000085999.13	RAD54L	protein_coding	1	46246460	46278480	INSUFFICIENT_EVIDENCE	1	0
ENSG00000079277.22	MKNK1	protein_coding	1	46557406	46616843		1	0
ENSG00000162367.11	TAL1	protein_coding	1	47216289	47232220	oncogene, fusion	1	1
ENSG00000123473.17	STIL	protein_coding	1	47250138	47314892	oncogene, fusion	1	1
ENSG00000185104.20	FAF1	protein_coding	1	50437027	50960267		1	0
ENSG00000123080.12	CDKN2C	protein_coding	1	50960744	50974634	TSG	1	1
ENSG00000085832.17	EPS15	protein_coding	1	51354262	51519266	TSG, fusion	1	1
ENSG00000184292.7	TACSTD2	protein_coding	1	58575432	58577252	ONCOGENE	1	0
ENSG00000177606.8	JUN	protein_coding	1	58776844	58784048	oncogene	1	1
ENSG00000240563.2	L1TD1	protein_coding	1	62194848	62212328	INSUFFICIENT_EVIDENCE	1	0
ENSG00000162607.13	USP1	protein_coding	1	62436296	62451804	ONCOGENE	1	0
ENSG00000162434.13	JAK1	protein_coding	1	64833228	65067754	oncogene, TSG	1	1
ENSG00000172260.15	NEGR1	protein_coding	1	71395942	72282539	INSUFFICIENT_EVIDENCE	1	0
ENSG00000162613.17	FUBP1	protein_coding	1	77944054	77979110	oncogene	1	1
ENSG00000142867.14	BCL10	protein_coding	1	85265775	85276632	TSG, fusion	1	1
ENSG00000122406.14	RPL5	protein_coding	1	92832012	92841924	TSG	1	1
ENSG00000188641.14	DPYD	protein_coding	1	97077742	97995000	INSUFFICIENT_EVIDENCE	1	0
ENSG00000184371.14	CSF1	protein_coding	1	109910241	109930992		1	0
ENSG00000162775.17	RBM15	protein_coding	1	110338505	110346681	fusion	1	1
ENSG00000197323.12	TRIM33	protein_coding	1	114392789	114511203	TSG, fusion	1	1
ENSG00000213281.5	NRAS	protein_coding	1	114704468	114716771	oncogene	1	1
ENSG00000009307.16	CSDE1	protein_coding	1	114716912	114758676	INSUFFICIENT_EVIDENCE	1	0
ENSG00000163399.16	ATP1A1	protein_coding	1	116372667	116410261	oncogene, TSG	1	1
ENSG00000116815.16	CD58	protein_coding	1	116514533	116571039	TSG	1	0
ENSG00000134258.17	VTCN1	protein_coding	1	117143586	117210960	INSUFFICIENT_EVIDENCE	1	0
ENSG00000183508.5	TENT5C	protein_coding	1	117606047	117628389	TSG	1	1
ENSG00000203857.10	HSD3B1	protein_coding	1	119507197	119515054	ONCOGENE	1	0
ENSG00000134250.20	NOTCH2	protein_coding	1	119911552	120100779	oncogene, TSG	1	1
ENSG00000116128.12	BCL9	protein_coding	1	147541500	147626216	oncogene, fusion	1	1
ENSG00000178104.19	PDE4DIP	protein_coding	1	148808180	149048286	fusion	1	1
ENSG00000183598.4	H3C13	protein_coding	1	149813224	149813693	NEITHER	1	0
ENSG00000203811.1	H3C14	protein_coding	1	149839537	149841193	NEITHER	1	0
ENSG00000203852.3	H3C15	protein_coding	1	149852618	149854274	NEITHER	1	0
ENSG00000117362.13	APH1A	protein_coding	1	150265398	150269580		1	0
ENSG00000143384.14	MCL1	protein_coding	1	150560894	150579738	ONCOGENE	1	0
ENSG00000143437.21	ARNT	protein_coding	1	150809712	150876708	oncogene, TSG, fusion	1	1
ENSG00000143379.12	SETDB1	protein_coding	1	150926262	150964744	oncogene	1	1
ENSG00000213190.4	MLLT11	protein_coding	1	151060396	151069544	fusion	1	1
ENSG00000143556.9	S100A7	protein_coding	1	153457743	153460651	fusion	0	1
ENSG00000143549.21	TPM3	protein_coding	1	154155303	154194648	TSG, fusion	1	1
ENSG00000160710.18	ADAR	protein_coding	1	154581694	154628013	INSUFFICIENT_EVIDENCE	1	0
ENSG00000173207.13	CKS1B	protein_coding	1	154974652	154979251		1	0
ENSG00000185499.16	MUC1	protein_coding	1	155185823	155192916	fusion	1	1
ENSG00000163374.20	YY1AP1	protein_coding	1	155659442	155689000		1	0
ENSG00000143622.11	RIT1	protein_coding	1	155897807	155911404	ONCOGENE	1	0
ENSG00000160789.24	LMNA	protein_coding	1	156082572	156140081	fusion	1	1
ENSG00000116604.18	MEF2D	protein_coding	1	156463726	156500779	ONCOGENE	1	0
ENSG00000143294.15	PRCC	protein_coding	1	156750609	156800815	fusion	1	1
ENSG00000198400.13	NTRK1	protein_coding	1	156815639	156881850	oncogene, TSG, fusion	1	1
ENSG00000163518.11	FCRL4	protein_coding	1	157573746	157598085	oncogene, fusion	1	1
ENSG00000163568.15	AIM2	protein_coding	1	159062483	159147096	TSG	1	0
ENSG00000162736.17	NCSTN	protein_coding	1	160343315	160358952	ONCOGENE	1	0
ENSG00000143252.16	SDHC	protein_coding	1	161314380	161363206	TSG	1	1
ENSG00000072694.21	FCGR2B	protein_coding	1	161663146	161678654	oncogene, fusion	1	1
ENSG00000162733.19	DDR2	protein_coding	1	162631372	162787405	oncogene	1	1
ENSG00000143228.13	NUF2	protein_coding	1	163266575	163355764	ONCOGENE	1	0
ENSG00000185630.19	PBX1	protein_coding	1	164555583	164899296	oncogene, fusion	1	1
ENSG00000116132.12	PRRX1	protein_coding	1	170662727	170739421	fusion	1	1
ENSG00000143207.21	COP1	protein_coding	1	175944830	176207286	ONCOGENE_AND_TSG	1	0
ENSG00000143322.21	ABL2	protein_coding	1	179099329	179229684	oncogene, fusion	1	1
ENSG00000047410.14	TPR	protein_coding	1	186311651	186375693	fusion	1	1
ENSG00000134371.14	CDC73	protein_coding	1	193121982	193254815	TSG	1	1
ENSG00000066279.19	ASPM	protein_coding	1	197084120	197146694		0	1
ENSG00000081237.20	PTPRC	protein_coding	1	198638456	198757476	TSG	1	1
ENSG00000163435.16	ELF3	protein_coding	1	202007944	202017183	TSG	1	1
ENSG00000159388.6	BTG2	protein_coding	1	203305490	203309602	TSG	1	1
ENSG00000133056.14	PIK3C2B	protein_coding	1	204422627	204494805	ONCOGENE	1	0
ENSG00000198625.13	MDM4	protein_coding	1	204516378	204558120	oncogene	1	1
ENSG00000158711.14	ELK4	protein_coding	1	205597555	205632011	oncogene, fusion	1	1
ENSG00000158715.6	SLC45A3	protein_coding	1	205657850	205680509	fusion	1	1
ENSG00000263528.8	IKBKE	protein_coding	1	206470475	206496889	ONCOGENE	1	0
ENSG00000136634.7	IL10	protein_coding	1	206767601	206774541	INSUFFICIENT_EVIDENCE	1	0
ENSG00000082512.15	TRAF5	protein_coding	1	211326614	211374946	TSG	1	0
ENSG00000152104.12	PTPN14	protein_coding	1	214348699	214552449	TSG	1	0
ENSG00000163041.13	H3-3A	protein_coding	1	226061850	226072019	ONCOGENE	1	0
ENSG00000143799.14	PARP1	protein_coding	1	226360209	226408154	TSG	1	0
ENSG00000143772.10	ITPKB	protein_coding	1	226631689	226739323	ONCOGENE	1	0
ENSG00000168148.4	H3-4	protein_coding	1	228424844	228425360	NEITHER	1	0
ENSG00000177614.11	PGBD5	protein_coding	1	230314489	230426332	ONCOGENE	1	0
ENSG00000010072.16	SPRTN	protein_coding	1	231337103	231355023	TSG	1	0
ENSG00000143674.11	MAP3K21	protein_coding	1	233327723	233385148	ONCOGENE	1	0
ENSG00000054267.22	ARID4B	protein_coding	1	235131633	235328219	TSG	1	0
ENSG00000182901.17	RGS7	protein_coding	1	240775513	241357230		0	1
ENSG00000091483.8	FH	protein_coding	1	241497510	241519799	TSG	1	1
ENSG00000117020.19	AKT3	protein_coding	1	243488232	243851079	oncogene	1	1
ENSG00000185420.19	SMYD3	protein_coding	1	245749341	246507312	ONCOGENE	1	0
ENSG00000107929.15	LARP4B	protein_coding	10	806913	931705	TSG	1	1
ENSG00000185736.16	ADARB2	protein_coding	10	1177312	1737525	ONCOGENE	1	0
ENSG00000067082.15	KLF6	protein_coding	10	3775995	3785281	TSG	1	1
ENSG00000107485.18	GATA3	protein_coding	10	8045377	8075198	oncogene, TSG	1	1
ENSG00000078403.17	MLLT10	protein_coding	10	21524645	21743630	oncogene, fusion	1	1
ENSG00000136754.18	ABI1	protein_coding	10	26746592	26861087	TSG, fusion	1	1
ENSG00000107890.17	ANKRD26	protein_coding	10	26973792	27100494	ONCOGENE	1	0
ENSG00000148516.23	ZEB1	protein_coding	10	31318494	31529814	oncogene	0	1
ENSG00000170759.11	KIF5B	protein_coding	10	32009014	32056425	fusion	1	1
