icdom	icdom_label	icdot	icdot_label	ncit	ncit_label	ncit_depth	count
94703	Medulloblastoma, NOS 	C71.6	Cerebellum	C3222	Medulloblastoma	9	1
96733	Mantle cell lymphoma 	C77.9	Lymph node, NOS	C4337	Mantle Cell Lymphoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C77.9	Lymph node, NOS	C80291	High Grade B-Cell Lymphoma, Not Otherwise Specified	11	3
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C77.9	Lymph node, NOS	C80280	Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	10	3
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C77.9	Lymph node, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	3
82720	Pituitary adenoma, NOS	C75.1	Pituitary gland	C3329	Pituitary Gland Adenoma	10	1
82710	Prolactinoma	C75.1	Pituitary gland	C3342	Prolactin-Producing Pituitary Gland Adenoma	11	1
80702	Squamous cell carcinoma in situ, NOS	C53.9	Cervix uteri	C7347	Cervical Squamous Cell Carcinoma In Situ	11	1
80703	Squamous cell carcinoma, NOS	C53.9	Cervix uteri	C4028	Cervical Squamous Cell Carcinoma, Not Otherwise Specified	9	1
89603	Nephroblastoma,NOS 	C64.9	Kidney, NOS	C40407	Kidney Wilms Tumor	7	1
98353	Precursor cell lymphoblastic leukemia, NOS 	C42.1	Bone marrow	C3167	Acute Lymphoblastic Leukemia	6	1
81403	Adenocarcinoma, NOS	C53.9	Cervix uteri	C4029	Cervical Adenocarcinoma	9	1
90633	Spermatocytic seminoma	C62.9	Testis, NOS	C39921	Testicular Spermatocytic Seminoma	-1	1
81400	Adenoma, NOS	C16.9	Stomach, NOS	C7699	Gastric Adenoma	5	1
98233	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma	C42.1	Bone marrow	C3163	Chronic lymphocytic leukemia	8	1
90403	Synovialsarcoma,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3400	Synovial Sarcoma	-1	1
94403	Glioblastoma,NOS	C71.0	cerebrum	C3058	Glioblastoma	8	1
94003	Astrocytoma,NOS	C71.9	Brain, NOS	C7173	Diffuse Astrocytoma	8	2
94003	Astrocytoma,NOS	C71.9	Brain, NOS	C60781	Astrocytoma	7	2
80413	Small cell carcinoma, NOS	C34.9	Lung, NOS	C4917	Small Cell Lung Carcinoma	7	1
80133	Large cell neuroendocrine carcinoma	C34.9	Lung, NOS	C5672	Lung Large Cell Neuroendocrine Carcinoma	7	1
82493	Atypical carcinoid tumor	C34.9	Lung, NOS	C45551	Lung Atypical Carcinoid Tumor	8	1
82403	Carcinoid tumor, NOS	C34.9	Lung, NOS	C4038	Lung Carcinoid Tumor	7	1
85603	Adenosquamous carcinoma 	C16.9	Stomach, NOS	C5474	Gastric adenosquamous carcinoma	6	1
81403	Adenocarcinoma, NOS	C16.9	Stomach, NOS	C4004	Gastric Adenocarcinoma	6	1
80103	Carcinoma, NOS	C75.0	parathyroid gland	C4906	Parathyroid Gland Carcinoma	6	1
81400	Adenoma, NOS	C75.0	parathyroid gland	C3916	Parathyroid Gland Adenoma	5	1
84413	Serous cystadenocarcinoma, NOS	C57.9	other female genital	C3778	Serous Cystadenocarcinoma	6	1
88211	Aggressive fibromatosis 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C9182	Desmoid-Type Fibromatosis	6	1
88903	Leiomyosarcoma,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3158	Leiomyosarcoma	7	1
80702	Squamous cell carcinoma in situ, NOS	C06.9	Mouth, NOS	C27093	Stage 0 Squamous Cell Carcinoma	6	1
