icdom::id	icdom::label	icdot::id	icdot::label	NCIT::id	NCIT::label	status
		icdot-C76.9	ill-defined	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C06.9	mouth, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C08.9	salivary gland, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C09.9	tonsil	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C10.9	Oropharynx	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C11.9	nasopharynx	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C15.9	esophagus, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C16.9	stomach, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C17.9	small intesine, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C18.9	colon, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C20.9	rectum, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C22.9	Liver and intrahepatic bile ducts	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C24.9	extrahepatic and unspecified bile ducts	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C25.9	Pancreas, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C34.9	lung, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C42.0	blood	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C42.1	bone marrow	NCIT:None	non-neoplastic	TODO
