ICD-O Code	Level	Term Type	Term type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT String (Preferred term)
T	1	HT	Hierarchical term	TOPOGRAPHY	C1522605	C38034	Topography
C00-C14	2	HT	Hierarchical term	LIP, ORAL CAVITY AND PHARYNX	CL018645		
C00	3	HT	Hierarchical term	LIP	C0023759	C12220	Lip
C00.0	4	PT	Preferred term	External upper lip	C0226936	C12221	External Upper Lip
C00.0	Related	RT	Related term	Upper lip, NOS	C0458582		
C00.0	Related	RT	Related term	Vermilion border of upper lip	C0226935		
C00.1	4	PT	Preferred term	External lower lip	C0226942	C12222	External Lower Lip
C00.1	Related	RT	Related term	Lower lip, NOS	C0226942	C12222	External Lower Lip
C00.1	Related	RT	Related term	Vermilion border of lower lip	C0226941		
C00.2	4	PT	Preferred term	External lip, NOS	C0226926	C12223	External Lip
C00.2	Related	RT	Related term	Vermilion border of lip, NOS	C0226925		
C00.3	4	PT	Preferred term	Mucosa of upper lip	C0226933	C12224	Mucosa of the Upper Lip
C00.3	Related	RT	Related term	Frenulum of upper lip	C0226937		
C00.3	Synonym	SY	Synonym	Inner aspect of upper lip	C0226933	C12224	Mucosa of the Upper Lip
C00.4	4	PT	Preferred term	Mucosa of lower lip	C0226939	C12225	Mucosa of the Lower Lip
C00.4	Related	RT	Related term	Frenulum of lower lip	C0226943		
C00.4	Synonym	SY	Synonym	Inner aspect of lower lip	C0226939	C12225	Mucosa of the Lower Lip
C00.5	4	PT	Preferred term	Mucosa of lip, NOS	C0226927	C12226	Mucosa of the Lip
C00.5	Related	RT	Related term	Frenulum of lip, NOS	C0022861		
C00.5	Synonym	SY	Synonym	Frenulum labii, NOS	C0022861		
C00.5	Synonym	SY	Synonym	Inner aspect of lip, NOS	C0226927	C12226	Mucosa of the Lip
C00.5	Synonym	SY	Synonym	Internal lip, NOS	C0226927	C12226	Mucosa of the Lip
C00.6	4	PT	Preferred term	Commissure of lip	C0226924	C12227	Commissure of the Lip
C00.6	Related	RT	Related term	Labial commissure	C0226924	C12227	Commissure of the Lip
C00.8	4	PT	Preferred term	Overlapping lesion of lip	CL018298		
C00.9	4	PT	Preferred term	Lip, NOS	C0023759	C12220	Lip
C01	3	HT	Hierarchical term	BASE OF TONGUE	C0226958	C12228	Base of the Tongue
C01.9	4	PT	Preferred term	Base of tongue, NOS	C0226958	C12228	Base of the Tongue
C01.9	Related	RT	Related term	Dorsal surface of base of tongue	C0226961		
C01.9	Related	RT	Related term	Posterior third of tongue	C0226958	C12228	Base of the Tongue
C01.9	Related	RT	Related term	Posterior tongue, NOS	C0226958	C12228	Base of the Tongue
C01.9	Related	RT	Related term	Root of tongue	C0226958	C12228	Base of the Tongue
C02	3	HT	Hierarchical term	OTHER AND UNSPECIFIED PARTS OF TONGUE	CL018300		
C02.0	4	PT	Preferred term	Dorsal surface of tongue, NOS	C0226954		
C02.0	Related	RT	Related term	Anterior 2/3 of tongue, dorsal surface	CL018301		
C02.0	Related	RT	Related term	Dorsal surface of anterior tongue	CL018303		
C02.0	Related	RT	Related term	Midline of tongue	CL018302		
C02.1	4	PT	Preferred term	Border of tongue	C0278437		
C02.1	Related	RT	Related term	Tip of tongue	C0226946	C32130	Apex of the Tongue
C02.2	4	PT	Preferred term	Ventral surface of tongue, NOS	C0226957		
C02.2	Related	RT	Related term	Anterior 2/3 of tongue, ventral surface	CL018304		
C02.2	Related	RT	Related term	Frenulum linguae	C0023739		
C02.2	Related	RT	Related term	Ventral surface of anterior tongue, NOS	CL018305		
C02.3	4	PT	Preferred term	Anterior 2/3 of tongue, NOS	C0226945		
C02.3	Synonym	SY	Synonym	Anterior tongue, NOS	C0226945		
C02.4	4	PT	Preferred term	Lingual tonsil	C0229871	C32988	Lingual Tonsil
C02.8	4	PT	Preferred term	Overlapping lesion of tongue	CL018306		
C02.8	Related	RT	Related term	Junctional zone of tongue	CL018307		
C02.9	4	PT	Preferred term	Tongue, NOS	C0040408	C12422	Tongue
C02.9	Synonym	SY	Synonym	Lingual, NOS	C0040408	C12422	Tongue
C03	3	HT	Hierarchical term	GUM	C0017562	C32677	Gingiva
C03.0	4	PT	Preferred term	Upper gum	C0227121	C54205	Upper Gingiva
C03.0	Synonym	SY	Synonym	Maxillary gingiva	C0227121	C54205	Upper Gingiva
C03.0	Synonym	SY	Synonym	Upper alveolar mucosa	C0227121	C54205	Upper Gingiva
C03.0	Synonym	SY	Synonym	Upper alveolar ridge mucosa	C0227126		
C03.0	Synonym	SY	Synonym	Upper alveolus	C0227121	C54205	Upper Gingiva
C03.0	Synonym	SY	Synonym	Upper gingiva	C0227121	C54205	Upper Gingiva
C03.1	4	PT	Preferred term	Lower gum	C0227123	C54204	Lower Gingiva
C03.1	Synonym	SY	Synonym	Lower alveolar mucosa	C0227123	C54204	Lower Gingiva
C03.1	Synonym	SY	Synonym	Lower alveolar ridge mucosa	C0227127		
C03.1	Synonym	SY	Synonym	Lower alveolus	C0227123	C54204	Lower Gingiva
C03.1	Synonym	SY	Synonym	Lower gingiva	C0227123	C54204	Lower Gingiva
C03.1	Synonym	SY	Synonym	Mandibular gingiva	C0227123	C54204	Lower Gingiva
C03.9	4	PT	Preferred term	Gum, NOS	C0017562	C32677	Gingiva
C03.9	Related	RT	Related term	Periodontal tissue	C0031104		
C03.9	Related	RT	Related term	Tooth socket	C0227130	C94543	Tooth Socket
C03.9	Synonym	SY	Synonym	Alveolar mucosa, NOS	C0542363		
C03.9	Synonym	SY	Synonym	Alveolar ridge mucosa, NOS	C0542363		
C03.9	Synonym	SY	Synonym	Alveolus, NOS	C0542363		
C03.9	Synonym	SY	Synonym	Gingiva, NOS	C0017562	C32677	Gingiva
