ICD-O-3 Site	Recode
C000-C009	20010
C019-C029	20020
C079-C089	20030
C040-C049	20040
C030-C039, C050-C059, C060-C069	20050
C110-C119	20060
C090-C099	20070
C100-C109	20080
C129, C130-C139	20090
C140, C142, C148	20100
C150-C159	21010
C160-C169	21020
C170-C179	21030
C180	21041
C181	21042
C182	21043
C183	21044
C184	21045
C185	21046
C186	21047
C187	21048
C188-C189, C260	21049
C199	21051
C209	21052
C210-C212, C218	21060
C220	21071
C221	21072
C239	21080
C240-C249	21090
C250-C259	21100
C480	21110
C481-C482	21120
C268-C269, C488	21130
C300-C301, C310-C319	22010
C320-C329	22020
C340-C349	22030
C384	22050
C339, C381-C383, C388, C390, C398, C399	22060
C400-C419	23000
C380, C470-C479, C490-C499	24000
C440-C449	25010
C440-C449	25020
C500-C509	26000
C530-C539	27010
C540-C549	27020
C559	27030
C569	27040
C529	27050
C510-C519	27060
C570-C579, C589	27070
C619	28010
C620-C629	28020
C600-C609	28030
C630-C639	28040
C670-C679	29010
C649, C659	29020
C669	29030
C680-C689	29040
C690-C699	30000
C710-C719	31010
C710-C719	31040
C700-C709, C720-C729	31040
C739	32010
C379, C740-C749, C750-C759	32020
C024, C098-C099, C111, C142, C379, C422, C770-C779	33011
C778	33012
C024, C098,C099, C111,C142, C379,C422, C770-C779	33041
C779	33042
C779	33042
C973	34000
C420, C421, C424	35011
C420, C421, C424	35012
C982-983	35013
C984-993	35021
C994	35031
C984-993	35022
C984-993	35023
C994	35041
C997	35043
C420, C421, C424	35043
C000-C809	36010
C000-C809	36020
C760-C768, C809	37000
C420-C424	37000
C770-C779	37000
Site or histology code not within valid range or site code not found in this table.	99999
