NCIT:C3262	Neoplasm
NCIT:C3263	Neoplasm by Site
NCIT:C156482	Genitourinary System Neoplasm
NCIT:C156483	Benign Genitourinary System Neoplasm
NCIT:C4893	Benign Urinary System Neoplasm
NCIT:C3617	Benign Ureter Neoplasm
NCIT:C4530	Ureter Polyp
NCIT:C6161	Ureter Leiomyoma
NCIT:C3618	Benign Bladder Neoplasm
NCIT:C159680	Bladder Hemangioma
NCIT:C159682	Bladder Neurofibroma
NCIT:C39834	Bladder Squamous Cell Papilloma
NCIT:C6178	Bladder Leiomyoma
NCIT:C3619	Benign Urethral Neoplasm
NCIT:C4532	Benign Accessory Urethral Gland Neoplasm
NCIT:C6171	Urethral Leiomyoma
NCIT:C4778	Benign Kidney Neoplasm
NCIT:C157745	Childhood Cystic Nephroma
NCIT:C159209	Kidney Leiomyoma
NCIT:C159211	Kidney Hemangioma
NCIT:C159214	Kidney Lymphangioma
NCIT:C3616	Benign Renal Pelvis Neoplasm
NCIT:C4526	Kidney Oncocytoma
NCIT:C8960	Hereditary Kidney Oncocytoma
NCIT:C5101	Kidney Lipoma
NCIT:C66774	Ossifying Renal Tumor of Infancy
NCIT:C8383	Kidney Adenoma
NCIT:C7617	Benign Reproductive System Neoplasm
NCIT:C4777	Benign Male Reproductive System Neoplasm
NCIT:C3489	Benign Penile Neoplasm
NCIT:C162583	Penile Leiomyoma
NCIT:C162587	Penile Neurofibroma
NCIT:C3612	Benign Testicular Neoplasm
NCIT:C39951	Testicular Fibroma
NCIT:C3613	Benign Prostate Neoplasm
NCIT:C161581	Prostate Hemangioma
NCIT:C161606	Prostate Cystadenoma
NCIT:C3972	Prostate Fibroma
NCIT:C4795	Prostate Adenoma
NCIT:C5532	Benign Prostate Phyllodes Tumor
NCIT:C5544	Prostate Leiomyoma
NCIT:C4934	Benign Female Reproductive System Neoplasm
NCIT:C126493	Benign Uterine Ligament Neoplasm
NCIT:C126476	Broad Ligament Serous Cystadenoma
NCIT:C126478	Broad Ligament Serous Adenofibroma
NCIT:C126477	Broad Ligament Serous Cystadenofibroma
NCIT:C40142	Uterine Ligament Papillary Cystadenoma Associated with von Hippel-Lindau Disease
NCIT:C2895	Benign Ovarian Neoplasm
NCIT:C126331	Ovarian Adenomatoid Tumor
NCIT:C4510	Benign Ovarian Epithelial Tumor
NCIT:C40039	Benign Ovarian Mucinous Tumor
NCIT:C40040	Ovarian Mucinous Adenofibroma
NCIT:C40041	Ovarian Mucinous Cystadenofibroma
NCIT:C4512	Ovarian Mucinous Cystadenoma
NCIT:C40072	Benign Ovarian Endometrioid Tumor
NCIT:C27287	Ovarian Endometrioid Adenofibroma
NCIT:C27288	Ovarian Endometrioid Cystadenofibroma
NCIT:C40075	Ovarian Endometrioid Cystadenoma
NCIT:C40084	Benign Ovarian Clear Cell Tumor
NCIT:C40085	Ovarian Clear Cell Adenofibroma
NCIT:C40086	Ovarian Clear Cell Cystadenofibroma
NCIT:C40087	Benign Ovarian Transitional Cell Tumor
NCIT:C4746	Benign Ovarian Brenner Tumor
NCIT:C4060	Ovarian Cystadenoma
